player_display_name,position,team,production_score,2026_opponent_def_rating,predictions_2026
British Brooks,RB,HOU,7.8,18.529411764705884,8.68
Mason Tipton,WR,NO,20.4,19.41176470588235,24.55
Cam Grandy,TE,CIN,2.7,16.705882352941178,2.63
David Martin-Robinson,TE,TEN,13.0,18.176470588235293,14.24
Bryce Oliver,WR,TEN,1.8,18.176470588235293,2.15
Colson Yankoff,TE,WAS,3.8,17.676470588235293,4.25
Jeshaun Jones,WR,MIN,0.0,18.470588235294116,0.21
Bo Nix,QB,DEN,322.9,14.735294117647058,290.52
Tip Reiman,TE,ARI,4.8,15.470588235294118,4.05
Blake Corum,RB,LA,142.8,15.411764705882353,134.92
Roman Wilson,WR,PIT,40.6,15.588235294117647,38.92
Will Shipley,RB,PHI,21.1,20.205882352941178,25.02
Jordan Whittington,WR,LA,41.8,15.411764705882353,38.62
