player_display_name,position,team,production_score,2026_opponent_def_rating,predictions_2026
Lil'Jordan Humphrey,WR,DEN,37.9,14.735294117647058,34.16
Lil'Jordan Humphrey,WR,NYG,9.5,17.558823529411764,9.5
Greg Dortch,WR,ARI,75.1,15.470588235294118,66.8
Darius Slayton,WR,NYG,96.8,17.558823529411764,104.87
Ty Johnson,RB,BUF,100.3,15.323529411764707,94.32
Tom Kennedy,WR,DET,7.6,18.0,8.3
Craig Reynolds,RB,DET,0.4,18.0,0.57
Travis Homer,RB,CHI,-0.2,13.823529411764707,-0.16
Alex Bachman,WR,LV,3.2,13.205882352941176,1.97
D'Ernest Johnson,RB,ARI,0.0,15.470588235294118,-0.06
D'Ernest Johnson,RB,NE,2.5,15.647058823529411,2.52
Drew Sample,TE,CIN,31.9,16.705882352941178,32.34
Parris Campbell,WR,DAL,0.0,16.676470588235293,0.14
DK Metcalf,WR,PIT,193.4,15.588235294117647,184.12
Noah Fant,TE,CIN,80.8,16.705882352941178,80.08
Gunner Olszewski,WR,NYG,35.82,17.558823529411764,38.96
Terry McLaurin,WR,WAS,114.2,17.676470588235293,122.37
Marquise Brown,WR,KC,137.7,16.147058823529413,133.44
A.J. Brown,WR,PHI,225.8,20.205882352941178,276.12
David Montgomery,RB,DET,164.92,18.0,183.44
Dawson Knox,TE,BUF,113.9,15.323529411764707,106.76
Josh Jacobs,RB,GB,243.9,17.38235294117647,253.72
Drew Lock,QB,SEA,0.0999999999999999,17.176470588235293,0.21
Daniel Jones,QB,IND,230.44000000000003,16.58823529411765,227.67
Deebo Samuel Sr.,WR,WAS,188.2,17.676470588235293,199.9
Jakob Johnson,RB,HOU,0.0,18.529411764705884,0.57
Andre Baccellia,WR,ARI,2.8,15.470588235294118,2.43
Cody White,WR,SEA,18.0,17.176470588235293,17.76
Giovanni Ricci,TE,DET,0.0,18.0,0.24
Tyler Huntley,QB,BAL,40.14,17.88235294117647,43.34
Juwan Johnson,TE,NO,183.9,19.41176470588235,221.5
